title_ar,title_en,content_ar,content_en,post_meta:adress_ar,post_meta:adress_en,post_meta:business-field-ar,post_meta:business-field-en,post_meta:phone,post_meta:link,img,panel
أسباب للتجارة والاستثمار,Asbab Trade & Investment Company,"نظام ألواح EVOS / COBIAX: يقلل EVOS / Cobiax حوالي 35 ٪ من الوزن الذاتي للبلاطة الصلبة. التي تؤثر على جميع العناصر الإنشائية للمبنى بما في ذلك الأعمدة وجدران القص والأساسات. تستفيد جميع الأطراف المعنية بما في ذلك المالك والمهندس المعماري والمهندس والمقاول من استخدام نظام ألواح EVOS. بالإضافة إلى الفوائد الهندسية ؛ عادةً ما تكون ألواح EVOS فعالة من الناحية المالية وتحقق وفورات مقارنة بأي نظام ألواح آخر موجود.

بالإضافة إلى التوفير في التكلفة ، يعمل نظام ألواح EVOS / Cobiax على تصعيد عملية البناء ، والاحتفاظ بالموارد الطبيعية ، وتوفير الطاقة وتقليل التلوث ، كما يعتبر EVOS / Cobiax حلاً ودودًا لأن صانعي الفراغات يتم تصنيعها من مواد معاد تدويرها
","EVOS/COBIAX Slab System: EVOS/Cobiax reduces about 35% of a solid slab self-weight, . which affects all of the building structural elements including columns, shear walls and footings.  All involved parties including the owner, the architect, the engineer and the contractor benefit from using EVOS slab system. In addition to the engineering benefits; EVOS slabs are usually financially effective and make savings in comparison to any other existing slab system.
In addition of cost savings, EVOS/Cobiax slab system escalate the construction process, reserve natural resources, saves energy and reduce pollution, Also EVOS/Cobiax considered as friendly solution because void formers are manufactured from recycled material
",رام الله، البالوع - بجانب لجنة الانتخابات المركزية، فيلا لرقم 5,"Ramallah, Al-Ballou’ – beside Central Election Commission, Villa #5

","مواد بناء
عقدات موفرة للمواد
","Building materials
Material-saving slabs
",+972 598882823,https://www.cme-int.com,https://palgbc.org/img/products/5.jpg,2
الشركة الهندسية والمعمارية للتنمية والتطوير م.خ.م.,A.E.G Architectural and Engineering Group,"التصميم المعماري المستتر

يتخصص AEG Architects في تصميم المباني الشمسية المستتر التي تعمل على توفير التدفئة والتبريد الطبيعي ، و خفض فواتير الطاقة إلى الحد الأدنى.

المباني الشمسية المستتر لدينا:
- مصممة لاستخدام طاقة الشمس للتدفئة والتبريد.
- أن يكون لديك اتجاه شمسي مناسب.
- احصل على أقصى قدر من الإضاءة الطبيعية.
- ينتج تهوية طبيعية.
- لا يتطلب استخدام معدات ميكانيكية.
- استخدام النوافذ والأبواب عالية الأداء.
- يستخدم مواد بناء موفرة للطاقة.
- معزول بشكل صحيح
- يقلل من انبعاثات الكربون
","Passive Architectural Design 

The AEG Architects specializes in designing Passive Solar Buildings that Works to Provide Natural Heating and Cooling,  Lowering  Energy Bills to the minimum.

Our Passive Solar Buildings :
- Are Designed to Use the Sun's Energy for Heating and Cooling.
- Have Proper Solar Orientation.
- Have Maximized Natural Lighting.
- Produces Natural ventilation. 
- Does not require the use of Mechanical Equipment.
- Use High-Performance Windows and Doors. 
- Uses Energy Efficient Building Materials. 
- Properly Insulated
- Minimizes Carbon Emissions
","54- شارع الخليل القدس، بيت لحم، فلسطين.
ص. ب. 374
","54-Jerusalem Hebron Road, Bethlehem, Palestine.
P.O.Box374
","طاقة متجددة،
 مصممين / استشاريين
","Renewable energy
Designer / consultancies
",00972-599800460,https://ar-ar.facebook.com/aeg.eng/,https://palgbc.org/img/products/3.jpg,2
"الشركة الوطنية لصناعة الالمنيوم و البروفيلات - نابكو

",Napco,"أنظمة نابكو الجديدة ، حيث تم إضافة العديد من الأنظمة الحديثة والمحدثة لحل مشاكل الأنظمة التقليدية القديمة ، ليس فقط للوفاء بالمتطلبات الناشئة ، ولكن أيضًا لخلق المعلومات والخدمة واستقلالية الجودة التي تخدم الاقتصاد الوطني وتلبية الذوق والسمعة. متطلبات العملاء الفلسطينيين.
تسعى نابكو باستمرار للحصول على شهادات الجودة لكل من الشركة ومنتجاتها.
شهادة السلامة العامة الدولية (OHSAS18001) ، لتزويد الموظفين ببيئة عمل آمنة ومريحة.
التطوير الشامل على الأجهزة المعملية لضمان الجودة.
ترقية خط البثق ، من خلال تحديث فرن المواد الخام لتحسين جودة التشكيلات.
خط العزل الحراري الجديد المستخدم في تركيب مواد العزل الحراري على المقاطع الجانبية.
البرامج الدولية ""المنطقية"" المستخدمة في حساب مجموعات التشكيلات والملحقات اللازمة لمشاريع البناء ، وتحديد أفضل الطرق لتقليل كمية الخردة المتولدة في عملية بثق الألمنيوم وقطعه.
فريق من المهندسين المؤهلين وذوي الخبرة القادرين على تقديم أفضل الحلول الهندسية المتكاملة.
وعليه ، قامت نابكو بتوسيع نطاق خدماتها لتشمل:

الحلول الهندسية المتكاملة:
من خلال هذه الأنظمة الجديدة ، تقدم نابكو حلولًا هندسية متكاملة وشاملة تلبي جميع المتطلبات المعمارية والإنشائية وأذواق ادق التصاميم والحلول.

خيارات بديلة:
تقدم نابكو ، بأنظمتها الجديدة ، بدائل متنوعة من حيث الشكل والوظيفة ، وبالتالي تلبية جميع الاحتياجات أو المواصفات المتوقعة.

جودة عالية:

تلبي أنظمة نابكو الجديدة معايير الجودة العالمية العالية من حيث المتانة والتحمل ، حيث يتمتع بعضها بقدرة عالية على العزل الحراري والصوتي.

مميزات أنظمة نابكو الجديدة (نابكو بلس):

تحتوي بعض الأنظمة على مادة البولي أميد ، والتي تعمل كعازل حراري وصوتي.
أنها تلبي جميع المواصفات الفنية والهندسية والمعمارية.
وهي مرتبطة بشكل كامل بخدمات الدعم الهندسي ، والتي ستتيح توفير الحلول باستمرار.
الملحقات من أصل أوروبي معتمد ، مع مستندات تدعم ذلك.
تمتلك الأنظمة شهادات جودة تثبت قدرتها على التعامل مع الضغط ومنع تسرب الماء والهواء.
 
أنظمة نابكو بلس:

150 قطعة
إمالة وتحويل الكسر الحراري 54 مم
إمالة وتحويل كسر حراري 62 ملم

","NAPCO’s new systems, whereas many new modern and updated systems were added to solve the old traditional systems’ problems,  not only to fulfill the arising requirements, but also to create information, service and quality independence serving therefore the national economy and meeting the taste and requirements of Palestinian customers.
NAPCO is constantly seeking quality certificates for both the company and its products.
The International Public safety Certificate (OHSAS18001), to provide employees with a safe and comfortable workplace environment.
The comprehensive development of laboratory devices to ensure quality.
Upgrading of the extrusion line, through updating the raw materials’ furnace to enhance the profiles quality.
The new thermal insulation line, used for the installation of thermal insulation material on profiles.
The “LOGICAL” international software used to; calculate the mounts of profiles and accessories needed for construction projects, and define the best methods to minimize the amount of scrap generated in aluminium extrusion and cutting process.
The highly qualified and experienced team of engineers, who are capable of providing the best Integrated Engineering Solutions.
 
Accordingly, NAPCO expanded the scope of its services to include: 

Integrated Engineering Solutions:
With such new systems NAPCO introduces comprehensive integrated engineering solutions which shall meet all the architectural and construction requirements and tastes of the most accurate designs and calculations.

Alternative Options:
NAPCO, with its new systems, offers a variety of alternatives in terms of shape and function, meeting therefore all the expected needs or specifications.

High Quality:
The new systems of NAPCO meet the high international quality standards in terms of durability and tolerance, as some have high thermal and acoustic insulation capability.

Advantages and Features of NAPCO new systems (NAPCO PLUS):
Some systems contained polyamide, which functions as thermal and acoustic insulation.
They meet all the technical, engineering and architectural specifications.
They are fully linked to engineering support services, which shall allow constant provision of solutions.  
The accessories are of a European certified origin, with documents supporting that.
The systems have quality certificates, which prove their ability to handle pressure and prevent leakage of water and air. 

NAPCO Plus Systems:
150 sth
Tilt & Turn Thermal Break 54mm
Tilt & Turn Thermal Break 62mm
","تقاطع قصين، بيت ايبا، نابلس. 

","Qusin junction, Beit iba, Nablus

","مواد بناء
صناعة الالمنيوم 
","Building material
Aluminium producing company
",569400195,https://www.napco.com,https://palgbc.org/img/products/12.jpg,1
"شركة بيت المقدس للزجاج و المرايا

","BEIT ALMAQDES FOR  GLASS & SILICON

",شركة بيت المقدس المحدودة للزجاج والمرايا هي شركة رائدة في مجال تجارة وتطبيقات الزجاج ، وتتخصص في استيراد وتسويق جميع أنواع الزجاج خاصة التحكم في الطاقة الشمسية و أنواع الزجاج العازل للحرارة,"Beit Al-Maqdes Co. LTD. For Glass & Mirrors is a leading wholesaling  in the field of glass trade & applications, specializes in importing and marketing all the kinds of glass specially solar control & thermal insulation glass types ","القدس، المنطقة الصناعية، عطروت

","Jerusalem , Industrial zone Atarot","مواد بناء
زجاج وشبابيك وأبواب موفرة للطاقة 
","Building material
Energy Efficient Glass/ windows/ Doors
",505288141,https://www.facebook.com/people/Beit-almaqdes-glass-unlimited-%D8%A8%D9%8A%D8%AA-%D8%A7%D9%84%D9%85%D9%82%D8%AF%D8%B3-%D9%84%D9%84%D8%B2%D8%AC%D8%A7%D8%AC/100057251396529/?ref=page_internal,https://palgbc.org/img/products/11.jpg,1
"الشركة الفلسطينية للدهانات
","Palestinian Paints

",دهانات ديلوكس، دهانات اويكوس,Dulux Paints (www.dulux.com)  & Oikos Paints (www.oikos-paint.com),"فلسطين، الضفة الغربية، رام الله، المنطقة الصناعية. 

","Palestine / West Bank/ Ramallah - Industrial Zone

","مواد بناء
دهانات صديقة للبيئة.
","Building material
Eco-friendly paints
",+970 595696956,"https://www.dulux.com

",https://palgbc.org/img/products/9.jpg,1
"Top Service للتكييف والمقاولات 

","Top service

",سامسونج VRF وتكييف الهواء للمباني الكبيرة والاستخدام التجاري,SAMSUNG VRF and air conditioner for large building and commercial use,"فلسطين، رام الله، عين مصباح، عمارة البحرين، الطابق الأرضي.  

","Palestine - Ramallah – Ain Musbah – Al Bahrain Buil. - Ground Floor

","اجهزة موفرة للطاقة
سامسونج
","ENERGY EFficient electronics
SAMSUNG 
",+972-2964966,"https://www.topservice.ps

",https://palgbc.org/img/products/8.jpg,1
"الكترا لأنظمة التحكم 

","Electra Control Systems Co. 

","تم تسجيل الكترا لأنظمة التحكم كنظام كامل يشمل الهندسة والتوريد والتركيب والبرمجة والتشغيل. نحن متخصصون في التكامل إما مرتبطين مباشرة بالشركة المصنعة أو موزع معتمد لعلامات تجارية معروفة مثل (هانيويل ، سينترالين. شنايدر ، إيه بي بي ..... نعمل بشكل وثيق مع مقاولين ميكانيكيين وكهربائيين وتكنولوجيا المعلومات ومقاولين آخرين. Electra control Systems® تأسست في رام الله ، 2008 تخطو خطوات مبهرة في تحسين المشاريع مثل:
المستشفيات والجامعات والمباني التجارية وشركات الأدوية والمراكز التقليدية والبنوك والفنادق ومراكز التسوق والمحاكم ومراكز البيانات والبنية التحتية.

فيما يلي حلولنا الرئيسية:
1. نظم إدارة المباني - BMS
2. المنزل الذكي
3. البرق والتظليل
4. أنظمة KNX
5. أنظمة SCADA
6. التحكم المنطقي القابل للبرمجة - PLC
7. إدارة الطاقة
8. نظم المراقبة البيئية - EMS
 9. إدارة المصنع
10. إدارة الفنادق
11. توفير الطاقة
12. إدارة المياه
13. الوصول إلى المبنى والمراقبة
14. HVAC التحكم
15. النظم الصناعية
16. تراث التكامل
17. الحلول الكهربائية
18. نظم التسرب
19. المباني الخضراء
20. مراقبة العملية
21. الأمن وسلامة الحياة
22. الأنظمة الخارجية
23. الغاز / التلوث
 24. ميكانيكي
25. غرف الاستراحة الذكية
26. مطابخ ذكية
27. إدارة المصاعد
28. مراقبة المرافق
29. اتصال IP
30. الإشارات الرقمية
31. التحكم المركزي
32. المدن الذكية
33. عد الناس
34. الذكاء الاصطناعي AI
35. أنظمة إدارة الفيديو VMS
36. إنترنت الأشياء IOT
37. نظام فواتير VRF الدفع المسبق
38. نظام وقوف السيارات الذكي
39. نظام الدفع لمواقف السيارات.

","We at Electra Control Systems, Procured as a complete system that includes engineering, supply, installation, programming and commissioning. We are a Specialist Integrator that is either directly associated with the manufacturer or is an approved reseller for well known brands like ( Honeywell, Centraline. Schneider, ABB .... . We work closely with Mechanical, Electrical, IT and other contractors.  Electra control systems® was established in Ramallah, 2008  makes impressive strides improving projects such as:
Hospitals, Universities, Commercial Buildings, Pharmaceutical Companies, Conventional Centers, Banks, Hotels, Malls, Courthouses, Data centers  and Infrastructure.

here are our main Solutions :
1.      Building Management Systems - BMS  
2.      Smart Home  
3.      Lightning & Shading  
4.      KNX Systems  
5.      SCADA Systems  
6.      Programmable Logic Control - PLC  
7.      Energy Management  
8.      Environmental Monitoring Systems - EMS 
 9.      Plant Management  
10.   Hotel Management  
11.   Energy Saving  
12.   Water Management  
13.   Building Access, Surveillance  
14.   HVAC Control  
15.   Industrial Systems  
16.   Legacy Integration  
17.   Electrical Solutions  
18.   Leakage Systems  
19.   Green Buildings  
20.   Process Control  
21.   Security and Life safety  
22.   Exterior Systems  
23.   Gas/Contamination 
 24.   Mechanical  
25.   Intelligent Rest Rooms  
26.   Intelligent Kitchens  
27.   Elevators Management  
28.   Utility Monitoring  
29.   IP Connectivity  
30.   Digital Signage 
31.   Central Control  
32.   Smart Cities  
33.   People Counting  
34.   Artificial Intelligent AI  
35.   Video Management Systems VMS  
36.   Internet of Things IOT 
37. Prepaid  VRF Billing System 
38. Smart Parking System 
39. Parking Payment System.
","فلسطين، رام الله، شارع رأس الطاحونة، عمارة لويس، الطابق الثامن. 

","Palestine, Ramallah Ras Al-Tahuna St., Louis Bldg,8th fl.
","إضاءة موفرة للطاقة
مصمم / استشارات
أنظمة ادارة بناء 
عدادات المياه
","Energy saving lights
Designer / consultancies
BMS
Water metres
",594663366,https://www.facebook.com/electraPalestine/,https://palgbc.org/img/products/2.jpg,2
"دليل كي كابيتال لتطوير الأعمال 

","DaleelKey Capital for Business Development LLC

","تقدم DaleelKey Capital for Business Development LLC (""DKC"") نظامها الحديث للجدران الجافة الصديقة للبيئة للجدران والفواصل الداخلية (المصنعة وفقًا للمعيار الدولي BS EN 12859: 2011) باستخدام منتجاتها المبتكرة ""DKG Gypsum Blocks"" التي تقدم فرصة رائعة لبناء الجدران الجافة الداخلية غير الحاملة (الحواجز والكسوة) مع تحقيق تكلفة أقل وجودة عالية الأداء وخصائص بناء مرنة في وقت أسرع بكثير. تساهم كتل الجبس DKG في انبعاثات ثاني أكسيد الكربون أقل من كتل الأسمنت والجبس الضارة بيئيًا. بفضل ميزات التوصيل الحراري الممتازة ، يعتبر حل DKG Gypsum Blocks منتجًا موفرًا للطاقة يقلل من تكاليف الطاقة. بالإضافة إلى ذلك ، المنتج خفيف الوزن ، ويوفر بناءًا سريعًا وسهلاً ، وعزلًا حراريًا ممتازًا ، بمقاومة عالية للحريق ، وعزل صوتي عالي ، وتنظيم الرطوبة النسبية ، وجودة الصوت والتحكم في الصدى ، وصد الماء بشكل كبير ، وحل سطح البيئة غير البكتيري ، صفر- النفايات وهو بالتأكيد نظام أقل تكلفة (على أساس التكاليف المباشرة وغير المباشرة) ، عند مقارنته بنظام جدران البلوكات الأسمنتية. يقع أول مصنع طوب الجبس لشركة DKC في العوجة أريحا والأغوار ، وهو الأول من نوعه في فلسطين.

","DaleelKey Capital for Business Development LLC (“DKC”) presents its modern environment-friendly dry wall system for internal walls and partitions (manufactured in accordance with the international standard BS EN 12859:2011) using its innovative products ""DKG Gypsum Blocks"" which offer a great opportunity for the construction of internal non-load bearing drywalls (partitions and cladding) realizing less cost, high-performance quality and flexible construction characteristics in a much faster time. DKG Gypsum Blocks contribute to less CO2 emissions than the environmentally harmful cement blocks and plastering. Thanks to its excellent thermal conductivity features, the DKG Gypsum Blocks solution is considered as an Energy Efficient product that reduces energy costs. In addition, the product is light weight, provides fast and easy construction, excellent thermal insulation, high fire resistance, high sound insulation, relative humidity regulation, sound quality and echo control, great water repellence, no-bacterial environment surface solution, zero-waste and it is definitely a less costly system (on a direct and indirect costs basis), when compared with the cement blocks walls system. DKC’s first Gypsum Blocks factory is located in Al-Ouja Jericho and Al-Aghwar Governorate, which is the first of its kind in Palestine.

","اريحا ص.ب. 100

","P.O. Box 100, Jericho

","مواد بناء
طوب جبسي
","Building materials
Gypsum blocks
",+970 59 793 7989,"https://www.facebook.com/DaleelKey.Gypsum

",https://palgbc.org/img/products/7.jpg,1
"شركة بال سولار للحلول الميكانيكية والطاقة

","PALSOLAR FOR MECHANICS & ENERGY SOLUTIONS

",أنظمة الطاقة الشمسية الميكانيكية وانظمة الفولتية  الضوئية (PV) الشمسية، من مسح الموقع ودراسة الجدوى والتصميم والتركيب لتشغيل وصيانة النظام منذ عام 2011 في نابلس فلسطين. تقدم PalSolar حلول طاقة شمسية صغيرة وكبيرة الحجم للعملاء الصناعيين والتجاريين و السكنيين في مجموعة من التطبيقات بما في ذلك النظام الكهروضوئي (نظام الكهروضوئية) ، وأنظمة المياه الساخنة المنزلية الصناعية ، ونحن متخصصون في الأعمال الميكانيكية ، مثل النفخ ، HVAC. مكافحة الحرائق والبخار والبنية التحتية والغاز وتجميع خط معالجة المصانع وتصنيع سخانات المياه بالطاقة الشمسية وخزانات التخزين و بويلرات البخار والمياه الساخنة.,"Mechanical and Photo-voltaic(PV) power solar systems from surveying the site, Feasibility study, design and installation to the system operation and maintenance since 2011 in Nablus-Palestine. PalSolar gives small and large-scale solar energy solutions for industrial, commercial, and residential clients in a range of applications including photo-voltaic system (PV system),industrial domestic hot water systems, and we are specialists in mechanical works, such as plumping, HVAC. firefighting , steam, infrastructure ,gas and factory process line assembly, fabricate solar water heater, storage tanks, steam & hot water boilers.","شارع فيصل، نابلس، فلسطين.

","FESAL ST. -NABLUS -PALESTINE

","PALSOLAR FOR MECHANICS & ENERGY SOLUTIONS

","Renewable energy
Solar-water heaters
Energy saving lights
Water metres
",+970599797972,"https://www.palsolar.net

",https://palgbc.org/img/products/13.jpg,1
"إدارة الطاقة المتجددة
برنامج الماجستير في جامعة بيرزيت
","Renewable Energy Management Masters Program at Birzeit University.

","برنامج إدارة الطاقة المتجددة

","Renewable Energy Management program

","جامعة بيرزيت

","Birzeit University

","تعليمي
طاقة متجددة
","Education
Renewable energy
",568671777,"https://www.birzeit.edu

",https://palgbc.org/img/products/6.jpg,2
